ppm_group	neutral_mass	intensity	is_precursor_deisotoped
0	202.3707959631381	22793.96484375	false
1	212.0083829959218	260309.8203125	false
2	228.49432446802942	2088009.828125	false
3	231.0155017340039	25226.08203125	false
4	263.0192241038038	30899.165771484375	false
5	273.96408257906216	546372.4418945312	false
6	287.03036928144587	40767.06787109375	false
7	288.0144417177484	146010.25756835938	false
8	305.0409536892879	393404.4248046875	false
9	306.02501577875483	1281033.7052001953	false
10	323.0515664286887	105786.45629882812	false
11	324.03557103331576	362800.60107421875	false
12	327.0365487431886	189654.09716796875	false
13	329.0522115403494	164140.75634765625	false
14	345.04681820590037	1563865.9836425781	false
15	347.0624809862892	32438.484619140625	false
16	357.9833038242891	578625.6356201172	false
17	363.0573590078635	720102.0563964844	false
18	385.0069919798235	167216.32739257812	false
19	385.99109513270975	782478.0705566406	false
20	399.02248899254096	40040.5732421875	false
21	403.01719662262497	18610.06884765625	false
22	404.001700510107	139639.470703125	false
23	404.6858803811856	25891.459228515625	false
24	407.0025830013522	40450.6689453125	false
25	409.0182750530461	90524.40551757812	false
26	419.07242592547544	40458.65625	false
27	420.0563716549631	176914.38232421875	false
28	425.01313356493256	1166119.2109375	false
29	431.1725483696123	36937.45361328125	false
30	437.1378989203166	1049049.8078613281	false
31	441.0684530165205	57559.677978515625	false
32	443.02374118402093	228205.0693359375	false
33	455.1483968017906	1508417.0461425781	false
34	459.0784490858557	402758.1591796875	false
35	475.1622975638709	198043.93017578125	false
36	482.012102792792	44043.99853515625	false
37	493.1287462361966	72553.01171875	false
38	499.03896602557955	121679.56884765625	false
39	500.0227777102601	346328.3972167969	false
40	503.02325440081154	19034.89501953125	false
41	505.53610145920754	17783.54638671875	false
42	510.53388068520377	70396.11059570312	false
43	511.13893528585726	37993.74072265625	false
44	521.0339729495394	157971.28002929688	false
45	523.0498690910293	22015.352783203125	false
46	531.0995229380784	185647.30126953125	false
47	532.0837093501525	29021.04833984375	false
48	537.1181847416018	240132.95947265625	false
49	539.0446852907239	724343.8845214844	false
50	545.1150983445474	21831.3740234375	false
51	547.9660531531736	50373.776123046875	false
52	549.1099907798214	65266.248779296875	false
53	555.1110223917235	26336.7666015625	false
54	555.1287394004282	808442.7585449219	false
55	556.1319387008174	36097.468614163045	false
56	557.0556187577665	61355.32666015625	false
57	563.1258298296148	40792.7978515625	false
58	568.1603316636312	23764.6162109375	false
59	569.1802251530172	19708.673828125	false
60	570.1217324752342	103361.14428710938	false
61	571.1057434389563	18367.986328125	false
62	574.1246769930001	30590.21976600439	false
63	575.0553678284977	18877.414306640625	false
64	579.0047647034719	15045.75244140625	false
65	579.9888721432133	88153.61865234375	false
66	585.5611851869238	21768.875	false
67	588.1322499828393	139336.59228515625	false
68	589.1168883607368	19581.66455078125	false
69	593.0550441788222	102941.77734375	false
70	594.0391167626138	85046.34423828125	false
71	595.0679748213993	20295.00439453125	false
72	601.0005082002097	60761.3779296875	false
73	609.6337892800799	27076.7177734375	false
74	610.1271593009712	103808.97241210938	false
75	611.0658228484532	507549.2194824219	false
76	612.0499932718745	397598.9250488281	false
77	613.0711542965269	20613.0302734375	false
78	614.0901916980952	34794.25244140625	false
79	617.066541657603	127728.951171875	false
80	619.0110470998452	214443.66186523438	false
81	625.0813518552046	281822.31298828125	false
82	628.1382934609284	223078.662109375	false
83	629.0763970196673	128501.70678710938	false
84	630.0602809843625	102691.80590820312	false
85	632.0773886050551	143904.51196289062	false
86	633.061313317254	19518.046875	false
87	635.0773860350032	710422.837890625	false
88	637.0211656417029	15220.661376953125	false
89	642.5829470908059	19791.35205078125	false
90	643.0929153892538	43157.07275390625	false
91	648.4381184609641	16772.0380859375	false
92	649.1464026783487	24745.73291015625	false
93	650.0877861248114	608381.8000488281	false
94	650.5799182082885	89806.91015625	false
95	650.599205264202	33392.119873046875	false
96	651.0718437879417	165645.26049804688	false
97	651.14976496792	819958.3383789062	false
98	653.0884536456086	29096.240234375	false
99	653.1561542408679	19818.693115234375	false
100	664.1811510757939	18860.51513671875	false
101	668.0985875967084	188791.185546875	false
102	672.0835763886524	151781.1953125	false
103	673.021474095951	22073.63330078125	false
104	674.0056662197695	78091.17822265625	false
105	674.0996652596076	98159.6376953125	false
106	675.5822286229746	18894.52587890625	false
107	687.0362105807873	21953.4970703125	false
108	688.1655699300564	22998.576171875	false
109	689.113323073322	18169.314453125	false
110	690.0939893929224	828341.8022460938	false
111	690.5630881912956	21151.11767578125	false
112	691.0322948493629	195676.69970703125	false
113	692.0163398130518	423675.8837890625	false
114	697.0334256485146	79766.99365234375	false
115	702.2187717081584	386204.4599609375	false
116	705.04779720045	134568.20654296875	false
117	707.5953748685449	61507.689208984375	false
118	708.1051636351772	303408.5576171875	false
119	709.0429033652291	32048.5537109375	false
120	710.6054930547023	37646.426120562915	false
121	712.0442293636281	95322.4384765625	false
