id	canonical_name	monoisotopic_mass	modification_rate	is_modification	encoding
103G	G+	324.1182	1.0	true	(
104G	galQ	571.2126	1.0	true	9
105G	gluQ	538.2023	1.0	true	⊄
106G	manQ	571.2126	1.0	true	8
2G	m2G	297.1073	1.0	true	L
22G	m2,2G	311.123	1.0	true	R
227G	m2,2,7G	327.1543	1.0	true	∠
27G	m2,7G	313.1386	1.0	true	∨
34G	imG	335.123	1.0	true	€
342G	mimG	349.1386	1.0	true	∑
347G	yW-72	436.1706	1.0	true	Ω
3470G	OHyWx	452.1655	1.0	true	š
348G	yW-58	450.1863	1.0	true	⇑
3480G	OHyWy	466.1812	1.0	true	y
3483G	yW	508.1918	1.0	true	Y
34830G	OHyW	524.1867	1.0	true	⊆
34832G	o2yW	540.1816	1.0	true	W
4G	imG-14	321.1073	1.0	true	†
42G	imG2	335.123	1.0	true	⊇
47G	yW-86	422.155	1.0	true	¥
7G	m7G	299.123	1.0	true	7
0U	Um	258.08518614	1.0	true	J
02U	s2Um	274.06234252	1.0	true	∏
03U	m3Um	272.1008362	1.0	true	σ
05U	m5Um	272.1008362	1.0	true	Ħ
0503U	mcmo5Um	346.10123012	1.0	true	Ͽ
051U	cmnm5Um	345.11721453	1.0	true	)
0521U	mcm5Um	330.1063155	1.0	true	∩
0522U	mchm5Um	346.10123012	1.0	true	b
053U	ncm5Um	315.10664985	1.0	true	~
0583U	inm5Um	355.17433547	1.0	true	Ю
09U	Ym	258.08518614	1.0	true	Z
1309U	m1acp3Y	359.13286459	1.0	true	α
19U	m1Y	258.08518614	1.0	true	]
2U	s2U	260.04669246	1.0	true	2
20U	se2U	307.9911	1.0	true	ω
2051U	cmnm5se2U	395.0232	1.0	true	⊥
20510U	nm5se2U	337.0177	1.0	true	π
20511U	mnm5se2U	365.049	1.0	true	≅
21U	ges2U	396.17189294	1.0	true	Γ
2151U	cmnm5ges2U	483.20392133	1.0	true	f
21510U	nm5ges2U	425.19844	1.0	true	Δ
21511U	mnm5ges2U	439.21409209	1.0	true	h
25U	m5s2U	274.0623	1.0	true	F
