Standard_Symbol	Symbol	Nucleoside	Chemical Formula	Mass
5U	m5s2U	5-methyl-2-thiouridine	C10 H14 N2 O5 S1	274.06234252
71C	f5C	5-formylcytidine	C10 H13 N3 O6	271.08043511
74U	s4U	4-thiouridine	C9 H12 N2 O5 S1	260.04669246
8U	D	dihydrouridine	C9 H14 N2 O6	246.08518614
9U	Y	pseudouridine	C9 H12 N2 O6	244.06953608
A	A	adenosine	C10 H13 N5 O4	267.09675387
C	C	cytidine	C9 H13 N3 O5	243.08552049
G	G	guanosine	C10 H13 N5 O5	283.09166849
U	U	uridine	C9 H12 N2 O6	244.06953608
0503U	mcmo5Um	2'-O-methyluridine 5-oxyacetic acid methyl ester	C13H18N2O9	346.10123012
051C	hm5Cm	5-hydroxymethylcytidine	C10 H15 N3 O6	273.09608517
21510U	nm5ges2U	5-aminomethyl-2-geranylthiouridine	C20H31N3O5S	425.19844
