ppm_group	neutral_mass	intensity	is_precursor_deisotoped
0	207.39339270075695	56274.41015625	false
1	207.4435610212648	55419.828125	false
2	207.49362853074848	41140.703125	false
3	208.01354082035323	23037.220703125	false
4	212.0084255344304	154678.50390625	false
5	215.02063540962476	24117.779296875	false
6	228.47573552988203	23356.1796875	false
7	228.47971029011626	32187.951171875	false
8	228.48366181161	47196.7421875	false
9	228.48800923428206	150606.015625	false
10	228.49451139562052	1592842.7265625	false
11	228.49682512041758	120968.0	false
12	228.5013248501817	46053.703125	false
13	228.5053534836555	29560.40234375	false
14	273.9641630711565	413676.46130371094	false
15	288.0145727517952	113494.77856445312	false
16	305.04098290660306	134533.3466796875	false
17	306.02510282530716	845939.8787841797	false
18	311.0416188742869	76886.2666015625	false
19	319.05667074228995	161192.34375	false
20	323.05132324168346	54437.33056640625	false
21	324.0356076668154	267884.9532470703	false
22	327.0364916802265	82587.390625	false
23	329.0522674926439	591680.2662353516	false
24	337.0671036404194	69099.24755859375	false
25	343.5628081351504	34631.9462890625	false
26	345.0469052453044	469290.298828125	false
27	347.0625744404352	139829.5888671875	false
28	357.9834385855126	78106.60632324219	false
29	363.05739899563093	175319.6142578125	false
30	385.9911458781019	914763.0920410156	false
31	399.0227196725554	66746.6201171875	false
32	404.0015560727687	43483.635986328125	false
33	409.01829088229573	442015.6845703125	false
34	420.05640269645124	59306.905029296875	false
35	425.01314868370224	280291.8371582031	false
36	427.02898240044095	27046.89013671875	false
37	428.08111472875385	22058.716552734375	false
38	431.1724425711395	86359.947265625	false
39	437.13802895896424	2543719.16015625	false
40	439.13368345796385	45156.921875	false
41	439.1433051071549	28607.94677734375	false
42	443.02371136402985	47395.0654296875	false
43	443.0836206324188	65645.23986816406	false
44	455.14857858959164	5468491.2861328125	false
45	457.14408366896356	115964.15551757812	false
46	459.0784904633961	140152.99047851562	false
47	471.1433956336768	18468.178466796875	false
48	475.162423581254	346737.412109375	false
49	482.01213987550256	41440.853515625	false
50	493.128653119752	95215.560546875	false
51	500.0228696694617	340736.8972167969	false
52	505.5364347019197	72925.5244140625	false
53	511.13904194085364	95773.55126953125	false
54	519.8830963174582	18836.14013671875	false
55	523.0495675671574	57404.177734375	false
56	525.9716128882272	74971.06640625	false
57	527.9686183962638	85682.580078125	false
58	537.1182107709401	403146.6181640625	false
59	539.0444065525222	145149.015625	false
60	545.1154743719716	65452.7490234375	false
61	549.1100652588744	179445.89208984375	false
62	555.1289359271436	1757210.1748046875	false
63	556.1319481206455	19935.761628805507	false
64	560.9195793582389	78118.3046875	false
65	561.9169324554143	14040.94182102178	false
66	563.12586533512	126193.04370117188	false
67	568.1604419047978	79138.8193359375	false
68	569.1800016586636	119855.33813476562	false
69	573.1215044140187	103267.62280273438	false
70	579.9884458611975	52531.78125	false
71	593.0555025948053	25192.94873046875	false
72	594.1328749819286	99136.64526367188	false
73	607.0703660901183	45128.50390625	false
74	607.1596892701892	36206.2783203125	false
75	611.0658421362762	299842.34814453125	false
76	612.1432213643617	86408.5	false
77	617.0669421766731	201112.01611328125	false
78	625.0814506972986	826480.3818359375	false
79	629.0764272884586	115315.09033203125	false
80	635.0771917980551	1280844.1499023438	false
81	637.0829564715909	45086.19970703125	false
82	642.4346711927071	31806.9404296875	false
83	643.0925735494078	199689.13842773438	false
84	649.1465588429635	58969.883015615575	false
85	651.1497934905511	1724895.1166992188	false
86	653.0880572970698	374386.57421875	false
87	653.1559535199644	41543.499267578125	false
88	653.9302377281483	135890.4990234375	false
89	656.0883650199231	141950.19506835938	false
90	662.2129832981562	287348.7873535156	false
91	662.6246881308537	48862.951171875	false
92	663.595455940964	35945.47021484375	false
93	664.1814815470615	92680.0693359375	false
94	666.5947478606721	28104.8701171875	false
95	670.3424622727606	43895.20195985893	false
96	674.0994372299216	812518.9091796875	false
97	680.2232553210135	4240418.947753906	false
98	682.2190074697112	45930.37744140625	false
99	682.229156055809	58018.5732421875	false
100	689.4556173961716	103817.54269944198	false
101	691.0319990052568	44093.59765625	false
102	691.5947029371811	60858.43359375	false
103	692.1099581665784	149346.9384765625	false
104	696.2179607053267	14352.60205078125	false
105	697.0327707447271	309196.1171875	false
106	705.047528142812	241409.56225585938	false
107	715.0433013253421	1085276.6943359375	false
108	715.1104587225715	62304.63058223261	false
109	717.9516506097975	19764.06689453125	true
110	731.0984300573749	28184.595703125	false
111	731.116011095552	797794.8325195312	false
112	733.053858562583	124784.1083984375	false
113	736.0547775698903	146631.89819335938	false
114	739.1131310045077	172001.44580078125	false
115	742.1789475151664	487607.39990234375	false
116	744.1482027064753	41722.914306640625	false
